T	M
23.600000	0.027778
23.650000	-0.027778
23.700000	0.083333
23.750000	0.222222
23.800000	0.166667
23.850000	0.138889
23.900000	0.263889
23.950000	0.277778
24.000000	0.180556
24.050000	-0.013889
24.100000	0.125000
24.150000	0.055556
24.200000	0.041667
24.250000	0.055556
24.300000	0.055556
24.350000	0.152778
24.400000	0.111111
24.450000	0.027778
24.500000	0.152778
24.550000	0.152778
24.600000	0.111111
24.650000	0.097222
24.700000	0.111111
24.750000	0.041667
24.800000	0.152778
24.850000	-0.013889
24.900000	-0.041667
24.950000	0.194444
25.000000	0.097222
25.050000	0.097222
25.100000	0.125000
25.150000	0.013889
25.200000	0.000000
25.250000	0.027778
25.300000	0.000000
25.350000	0.027778
25.400000	0.069444
25.450000	0.250000
25.500000	0.069444
25.550000	0.083333
25.600000	0.166667
25.650000	0.041667
25.700000	0.041667
25.750000	0.027778
25.800000	0.027778
25.850000	0.013889
25.900000	0.055556
25.950000	0.013889
26.000000	-0.041667
26.050000	-0.152778
26.100000	0.000000
26.150000	0.055556
26.200000	0.083333
26.250000	0.138889
26.300000	0.055556
26.350000	0.013889
26.400000	-0.027778
26.450000	0.097222
26.500000	0.152778
26.550000	0.027778
26.600000	-0.041667
26.650000	-0.097222
26.700000	-0.041667
26.750000	0.041667
26.800000	0.000000
26.850000	0.041667
26.900000	0.041667
26.950000	0.111111
27.000000	0.166667
27.050000	0.013889
27.100000	0.083333
27.150000	-0.041667
27.200000	-0.166667
27.250000	-0.027778
27.300000	0.111111
27.350000	-0.013889
27.400000	0.000000
27.450000	0.013889
27.500000	-0.055556
27.550000	-0.055556
27.600000	0.000000
27.650000	-0.055556
27.700000	-0.027778
27.750000	-0.083333
27.800000	0.000000
27.850000	0.166667
27.900000	-0.013889
27.950000	-0.069444
28.000000	-0.013889
28.050000	-0.027778
28.100000	0.055556
28.150000	0.069444
28.200000	0.041667
28.250000	0.166667
28.300000	0.222222
28.350000	0.277778
28.400000	0.138889
28.450000	0.097222
28.500000	0.097222
28.550000	0.097222
28.600000	0.111111
28.650000	0.180556
28.700000	0.013889
28.750000	-0.083333
28.800000	0.000000
28.850000	0.000000
28.900000	-0.013889
28.950000	-0.055556
29.000000	-0.013889
29.050000	-0.013889
29.100000	0.222222
29.150000	0.152778
29.200000	0.069444
29.250000	0.111111
29.300000	0.013889
29.350000	0.027778
29.400000	0.138889
29.450000	0.166667
29.500000	0.055556
29.550000	0.069444
29.600000	0.069444
29.650000	0.027778
29.700000	0.152778
29.750000	0.069444
29.800000	0.083333
29.850000	0.138889
29.900000	0.111111
29.950000	0.097222
30.000000	0.138889
30.050000	0.138889
30.100000	0.013889
30.150000	-0.055556
30.200000	0.125000
30.250000	0.000000
30.300000	0.111111
30.350000	0.069444
30.400000	0.055556
